class_id,user_id,course_id,date,mark
1,3,1,250214,null
1,3,2,260214,null
1,3,3,270214,null
1,3,4,280214,null
1,3,5,10314,null
1,7,1,250214,null
1,7,2,260214,null
1,7,3,270214,null
1,7,4,280214,null
1,7,5,10314,null
1,11,1,250214,null
1,11,2,260214,null
1,11,3,270214,null
1,11,4,280214,null
1,11,5,10314,null
1,15,1,250214,null
1,15,2,260214,null
1,15,3,270214,null
1,15,4,280214,null
1,15,5,10314,null
2,20,6,20314,null
2,20,7,30314,null
2,20,8,40314,null
2,20,9,50314,null
2,20,10,60314,null
2,19,6,20314,null
2,19,7,30314,null
2,19,8,40314,null
2,19,9,50314,null
